,condition,time,perturbation,timeXperturbation
FRJKLT0,0,0,0,0
FRJ1T1,1,1,1,0
FRJ1T2,1,2,1,1
FRJ2T1,1,1,1,0
FRJ2T2,1,2,1,1
FRJ3T1,1,1,1,0
FRJ3T2,1,2,1,1
FRJ4T1,1,1,1,0
FRJ4T2,1,2,1,1
FRJ5T1,1,1,1,0
FRJ5T2,1,2,1,1
FRK1T1,2,1,2,0
FRK1T2,1,2,2,2
FRK2T1,1,1,2,0
FRK2T2,1,2,2,2
FRK3T1,1,1,2,0
FRK3T2,1,2,2,2
FRK4T1,1,1,2,0
FRK4T2,1,2,2,2
FRK5T1,1,1,2,0
FRK5T2,1,2,2,2
FRL1T1,0,1,0,0
FRL1T2,0,2,0,0
FRL2T1,0,1,0,0
FRL2T2,0,2,0,0
FRL3T1,0,1,0,0
FRL3T2,0,2,0,0
FRL4T1,0,1,0,0
FRL5T1,0,1,0,0
FRL5T2,0,2,0,0
,,,,
