,condition,time,perturbation,timeXperturbation
RGHIT0,0,0,0,0
RG1T1,1,1,1,0
RG1T2,1,2,1,1
RG2T1,1,1,1,0
RG2T2,1,2,1,1
RG3T1,1,1,1,0
RG3T2,1,2,1,1
RG4T1,1,1,1,0
RG4T2,1,2,1,1
RG5T1,1,1,1,0
RG5T2,1,2,1,1
RH1T1,2,1,2,0
RH1T2,2,2,2,2
RH2T1,2,1,2,0
RH2T2,2,2,2,2
RH3T1,2,1,2,0
RH3T2,2,2,2,2
RH4T1,2,1,2,0
RH4T2,2,2,2,2
RH5T1,2,1,2,0
RH5T2,2,2,2,2
RI1T1,0,1,0,0
RI1T2,0,2,0,0
RI2T1,0,1,0,0
RI2T2,0,2,0,0
RI3T1,0,1,0,0
RI3T2,0,2,0,0
RI4T1,0,1,0,0
RI4T2,0,2,0,0
RI5T1,0,1,0,0
RI5T2,0,2,0,0
