,condition,time,perturbation,timeXperturbation
RJKLT0,0,0,0,0
RJ1T1,1,1,1,0
RJ1T2,1,2,1,1
RJ2T1,1,1,1,0
RJ2T2,1,2,1,1
RJ3T1,1,1,1,0
RJ3T2,1,2,1,1
RJ4T1,1,1,1,0
RJ4T2,1,2,1,1
RJ5T1,1,1,1,0
RJ5T2,1,2,1,1
RK1T1,2,1,2,0
RK1T2,2,2,2,2
RK2T1,2,1,2,0
RK2T2,2,2,2,2
RK3T1,2,1,2,0
RK3T2,2,2,2,2
RK4T1,2,1,2,0
RK4T2,2,2,2,2
RK5T1,2,1,2,0
RK5T2,2,2,2,2
RL1T1,0,1,0,0
RL1T2,0,2,0,0
RL2T1,0,1,0,0
RL2T2,0,2,0,0
RL3T1,0,1,0,0
RL3T2,0,2,0,0
RL4T1,0,1,0,0
RL4T2,0,2,0,0
RL5T1,0,1,0,0
RL5T2,0,2,0,0
