,condition,time,perturbation,timeXperturbation
T0pooling,0,0,0,0
1T0,0,1,0,0
2T0,0,1,0,0
3T0,0,1,0,0
4T0,0,1,0,0
5T0,0,1,0,0
M1T1,1,2,1,0
M2T1,1,2,1,0
M3T1,1,2,1,0
M4T1,1,2,1,0
M5T1,1,2,1,0
N1T1,2,2,2,0
N2T1,2,2,2,0
N3T1,2,2,2,0
N4T1,2,2,2,0
N5T1,2,2,2,0
O1T1,0,2,0,0
O2T1,0,2,0,0
O3T1,0,2,0,0
O4T1,0,2,0,0
O5T1,0,2,0,0
M1T2,1,3,1,1
M2T2,1,3,1,1
M3T2,1,3,1,1
M4T2,1,3,1,1
M5T2,1,3,1,1
N1T2,2,3,2,2
N2T2,2,3,2,2
N3T2,2,3,2,2
N4T2,2,3,2,2
N5T2,2,3,2,2
O1T2,0,3,0,0
O2T2,0,3,0,0
O3T2,0,3,0,0
O4T2,0,3,0,0
O5T2,0,3,0,0
O1T3,0,4,0,0
O2T3,0,4,0,0
O3T3,0,4,0,0
O4T3,0,4,0,0
O5T3,0,4,0,0
