,condition,time,perturbation,timeXperturbation
SABCT0,0,0,1,0
SA1T1,1,1,1,0
SA1T2,1,2,1,1
SA1T3,1,3,1,3
SA2T1,1,1,1,0
SA2T2,1,2,1,1
SA2T3,1,3,1,3
SA3T1,1,1,1,0
SA3T2,1,2,1,1
SA3T3,1,3,1,3
SA4T1,1,1,1,0
SA4T2,1,2,1,1
SA4T3,1,3,1,3
SA5T1,1,1,1,0
SA5T2,1,2,1,1
SA5T3,1,3,1,3
SB1T1,2,1,1,0
SB1T2,2,2,1,2
SB2T1,2,1,1,0
SB2T2,2,2,1,2
SB3T1,2,1,1,0
SB3T2,2,2,1,2
SB4T1,2,1,1,0
SB4T2,2,2,1,2
SB5T1,2,1,1,0
SB5T2,2,2,1,2
SC1T1,0,1,0,0
SC1T2,0,2,0,0
SC2T1,0,1,0,0
SC2T2,0,2,0,0
SC3T1,0,1,0,0
SC3T2,0,2,0,0
SC4T1,0,1,0,0
SC4T2,0,2,0,0
SC5T1,0,1,0,0
SC5T2,0,2,0,0
